,lat,lng,offense
500,45.5125,-122.504,Assault Offenses
501,45.5276,-122.661,Assault Offenses
502,45.5344,-122.645,Assault Offenses
503,45.5627,-122.616,Assault Offenses
504,45.5772,-122.687,Assault Offenses
505,45.5256,-122.677,Assault Offenses
506,45.5631,-122.601,Burglary
507,45.5935,-122.665,Burglary
508,45.522,-122.523,Burglary
515,45.5157,-122.684,Larceny Offenses
516,45.5989,-122.673,Larceny Offenses
517,45.5338,-122.62,Larceny Offenses
518,45.5122,-122.65,Larceny Offenses
519,45.4938,-122.579,Larceny Offenses
520,45.4837,-122.585,Larceny Offenses
521,45.5299,-122.678,Larceny Offenses
522,45.5797,-122.708,Larceny Offenses
523,45.5045,-122.569,Larceny Offenses
524,45.533,-122.609,Larceny Offenses
525,45.533,-122.609,Larceny Offenses
526,45.4464,-122.726,Larceny Offenses
527,45.5231,-122.672,Larceny Offenses
528,45.5627,-122.687,Larceny Offenses
529,45.5184,-122.683,Larceny Offenses
530,45.532,-122.655,Larceny Offenses
532,45.4977,-122.509,Larceny Offenses
533,45.5167,-122.675,Larceny Offenses
534,45.4931,-122.579,Larceny Offenses
535,45.5315,-122.655,Larceny Offenses
536,45.4838,-122.59,Larceny Offenses
537,45.5381,-122.607,Larceny Offenses
538,45.4772,-122.646,Larceny Offenses
539,45.5807,-122.724,Larceny Offenses
540,45.5801,-122.727,Larceny Offenses
541,45.4927,-122.629,Motor Vehicle Theft
542,45.5254,-122.61,Motor Vehicle Theft
543,45.4847,-122.528,Motor Vehicle Theft
544,45.5041,-122.539,Motor Vehicle Theft
545,45.5885,-122.736,Motor Vehicle Theft
546,45.5587,-122.652,Robbery
547,45.5046,-122.574,Robbery
548,45.5024,-122.506,Vandalism
549,45.5628,-122.597,Vandalism
550,45.5627,-122.611,Vandalism
551,45.5201,-122.68,Vandalism
552,45.5169,-122.686,Vandalism
553,45.5371,-122.575,Vandalism
554,45.5112,-122.538,Vandalism
555,45.5284,-122.699,Vandalism
556,45.5495,-122.496,Vandalism
557,45.5176,-122.685,Drug/Narcotic Offenses
558,45.5096,-122.476,Drug/Narcotic Offenses
559,45.594,-122.755,Drug/Narcotic Offenses
560,45.5992,-122.654,Weapon Law Violations
562,45.4888,-122.562,Larceny Offenses
563,45.4793,-122.694,Larceny Offenses
564,45.613,-122.685,Larceny Offenses
565,45.4792,-122.618,Larceny Offenses
566,45.5503,-122.5,Burglary
567,45.5295,-122.643,Larceny Offenses
568,45.5503,-122.5,Larceny Offenses
569,45.5503,-122.5,Motor Vehicle Theft
570,45.5819,-122.72,Motor Vehicle Theft
